NU_ANO,UF,Nome_Municipio,VL_ADICIONADO_BRUTO_AGROPECUARIA,VL_ADICIONADO_BRUTO_INDUSTRIA,VL_ADICIONADO_BRUTO_SERVICOS,VL_ADICIONADO_BRUTO_ADMINISTRACA,VL_ADICIONADO_BRUTO_TOTAL,VL_IMPOSTOS_LIQUIDOS_SUBSIDIOS,VL_PIB_PRECOS_CORRENTES,VL_PIB_PER_CAPTA_PRECOS_CORRENTE,NU_NOTA_CN_Mean,NU_NOTA_CN_StdDev,NU_NOTA_CN_Min,NU_NOTA_CN_Max,NU_NOTA_CN_N,NU_NOTA_CN_P10,NU_NOTA_CN_Q1,NU_NOTA_CN_Median,NU_NOTA_CN_Q3,NU_NOTA_CN_P90,NU_NOTA_CN_P95,NU_NOTA_CN_P99,NU_NOTA_CN_CV,NU_NOTA_CH_Mean,NU_NOTA_CH_StdDev,NU_NOTA_CH_Min,NU_NOTA_CH_Max,NU_NOTA_CH_N,NU_NOTA_CH_P10,NU_NOTA_CH_Q1,NU_NOTA_CH_Median,NU_NOTA_CH_Q3,NU_NOTA_CH_P90,NU_NOTA_CH_P95,NU_NOTA_CH_P99,NU_NOTA_CH_CV,NU_NOTA_LC_Mean,NU_NOTA_LC_StdDev,NU_NOTA_LC_Min,NU_NOTA_LC_Max,NU_NOTA_LC_N,NU_NOTA_LC_P10,NU_NOTA_LC_Q1,NU_NOTA_LC_Median,NU_NOTA_LC_Q3,NU_NOTA_LC_P90,NU_NOTA_LC_P95,NU_NOTA_LC_P99,NU_NOTA_LC_CV,NU_NOTA_MT_Mean,NU_NOTA_MT_StdDev,NU_NOTA_MT_Min,NU_NOTA_MT_Max,NU_NOTA_MT_N,NU_NOTA_MT_P10,NU_NOTA_MT_Q1,NU_NOTA_MT_Median,NU_NOTA_MT_Q3,NU_NOTA_MT_P90,NU_NOTA_MT_P95,NU_NOTA_MT_P99,NU_NOTA_MT_CV,NU_NOTA_REDACAO_Mean,NU_NOTA_REDACAO_StdDev,NU_NOTA_REDACAO_Min,NU_NOTA_REDACAO_Max,NU_NOTA_REDACAO_N,NU_NOTA_REDACAO_P10,NU_NOTA_REDACAO_Q1,NU_NOTA_REDACAO_Median,NU_NOTA_REDACAO_Q3,NU_NOTA_REDACAO_P90,NU_NOTA_REDACAO_P95,NU_NOTA_REDACAO_P99,NU_NOTA_REDACAO_CV,LATITUDE,LONGITUDE
2019,PB,São José de Piranhas,"11,704","14,360","68,664","96,969","191,697","12,931","204,628","10,104.57",461.08397291,69.232830274,330.9,672,443,375.3,409.5,455,505,558.3,598.2,635.1,15.01523244,490.61309255,74.992356836,326.6,688.8,443,387,432.7,491.4,550.4,594,608.1,645.7,15.285437338,508.72392777,56.28816104,334.2,643.6,443,437.5,471.3,511.7,549.1,579.3,596.5,627.2,11.064579031,510.38487585,99.858644535,359.1,822.8,443,400.9,428.2,487.5,583.7,658.2,696.7,786.2,19.565361213,587.62979684,138.97012348,240,980,443,400,520,580,660,760,840,960,23.649264252,-7.12,-38.5
2019,PB,São José de Princesa,"4,335",798,"4,699","20,008","29,840",831,"30,671","7,661.94",438.84833333,67.262467162,341.4,701.7,60,369.8,390.55,427.85,472.6,504.65,574.1,701.7,15.327041726,476.46333333,70.057092859,331.8,699.7,60,398.3,430.3,473.15,507.7,567.4,606.5,699.7,14.703564358,490.89166667,51.796120173,385,635.5,60,425.9,457,492.45,524.45,560.3,583,635.5,10.551436028,497.03833333,91.756876788,381.3,836.7,60,404.4,428.25,485.7,525.05,623.95,662.05,836.7,18.460724382,576.66666667,140.80478934,260,940,60,430,500,580,630,710,890,940,24.417015492,-7.73,-38.09
2019,PB,São José do Bonfim,"1,378","1,279","6,912","18,337","27,906","1,457","29,363","8,255.10",452.22898551,65.643681882,348.3,627.8,69,369.9,399.9,454.5,494.3,543.2,566.5,627.8,14.5155848,455.32173913,89.231690937,0,619.7,69,370.4,415.5,450.6,500.2,578.4,582.9,619.7,19.59750288,475.24637681,82.570021229,0,596.7,69,367.7,444.6,496,519.9,556.5,571.4,596.7,17.3741506,464.30724638,74.780829406,361.7,694.6,69,377.3,407.7,442.3,513.9,587.7,610.5,694.6,16.10589324,502.60869565,134.46683577,240,900,69,300,420,520,560,680,700,900,26.753782204,-7.16,-37.3
2019,PB,São José do Brejo do Cruz,"3,123","1,067","4,876","15,623","24,690",591,"25,281","14,037.06",431.64444444,51.083223343,347.1,570.3,45,373.8,393.5,424.9,471.4,492.1,534.1,570.3,11.834560597,448.80444444,66.912524156,348.2,604.3,45,362.4,399.5,449.4,487.9,549.3,562.1,604.3,14.909060056,477.27333333,58.018505668,345,593.6,45,382.1,448.8,490.4,514.1,543.9,555.3,593.6,12.156242894,456.77111111,67.326546913,359.5,607.8,45,386.8,413,438.3,483.1,577.3,607.2,607.8,14.739668354,555.55555556,111.01915387,300,820,45,420,480,560,620,680,740,820,19.983447696,-6.21,-37.35
2019,PB,São José do Sabugi,"3,572","54,344","10,050","23,817","91,784","2,474","94,258","22,762.09",456.62454545,60.919039651,350.6,637.1,110,380.4,405.3,452.9,500.3,540.45,553.1,583.8,13.341166229,470.89636364,70.708175211,328.5,626.7,110,369.75,419.3,474.05,522.3,561.6,582.8,606.2,15.015655391,494.67454545,53.89481505,372.8,617.2,110,418.8,456.6,495.85,537.1,559.05,573.9,610.3,10.895004715,501.46545455,86.881806709,372.2,745.8,110,402.15,428.6,485.25,557.3,630.2,656.5,730.2,17.325581637,575.81818182,111.96642533,300,880,110,440,500,580,640,720,740,820,19.444753372,-6.77,-36.79
2019,PB,São José dos Cordeiros,"2,302","2,687","6,319","19,703","31,011","1,224","32,235","8,885.00",440.52173913,63.830775973,355,573.9,46,364.7,386.3,427.25,488,539.8,556.1,573.9,14.489812943,456.37391304,67.158182871,352.6,569.8,46,373.4,394.7,452.8,509,557.3,567.3,569.8,14.715605111,499.22608696,42.98766973,389,584,46,449.1,468.6,500.3,525.7,559.1,572.6,584,8.6108620629,464.36521739,73.188785472,372,665.6,46,382.2,404.5,439.25,510.1,559.3,614.7,665.6,15.761039529,564.34782609,161.21279483,280,900,46,320,480,570,660,740,880,900,28.566211719,-7.39,-36.8
2019,PB,São Mamede,"6,782","4,435","17,597","38,277","67,090","3,014","70,104","9,076.14",470.07716535,66.941295283,349.1,665.5,127,385,423.1,463.3,516.2,561.2,584.5,612.4,14.240490757,504.8,75.390213461,336.9,654.3,127,389,463.2,514.1,557.3,596.6,614.2,650.4,14.934669862,517.05826772,59.94768942,355,634.8,127,436.3,483.4,520,564.1,584.1,601.3,629.3,11.593991077,515.70551181,101.34402928,361.1,908.1,127,404.4,440.6,493.2,592.2,663.3,699,805.5,19.651531147,594.80314961,148.07146705,240,940,127,400,520,580,700,780,880,940,24.89419687,-6.92,-37.09
2019,PB,São Miguel de Taipu,"19,671","2,483","9,150","34,840","66,144","2,222","68,366","9,278.73",440.25,57.379242542,342.1,602.6,100,363.9,396.1,439.55,482.6,510.5,541.1,589.2,13.033331639,464.034,53.316509127,340.2,600.8,100,389.55,423.15,462.45,503.2,529.9,547.4,595,11.489785043,488.474,58.988455676,345.4,623.6,100,412.3,447.55,494.55,531.8,558.45,585.65,622.25,12.07606867,466.892,70.766270114,363.2,723.3,100,398.55,415.55,445,501.05,560.6,625.15,700.45,15.15688213,568.8,141.68737817,240,940,100,390,490,580,640,750,810,920,24.909876611,-7.25,-35.2
2019,PB,São Sebastião de Lagoa de  Roça,"8,375","4,189","20,780","57,643","90,987","3,728","94,715","8,122.42",471.46296296,64.393721696,337.6,641.5,297,386,423,472,519.2,558.5,576.4,607.1,13.658277904,498.06127946,74.46733922,324.2,680.5,297,397.9,440.9,494.5,551.9,597.2,625.1,655,14.951441176,516.22895623,53.822284235,338.4,653.1,297,449.3,486,522.7,549.8,581.7,596.4,632.4,10.426049059,504.603367,93.893467821,359.5,809.5,297,396.6,429,481.5,570.2,639.8,680.4,750.5,18.607380363,615.35353535,125.64950015,200,980,297,480,540,600,680,780,860,940,20.419075041,-7.08,-35.83
2019,PB,São Sebastião do Umbuzeiro,"2,885","1,141","7,340","20,272","31,637","1,218","32,856","9,416.94",449.10759494,69.177721277,334.5,645.4,79,361.3,394.3,444.2,499.1,552.5,575.4,645.4,15.403373725,483.67468354,66.323147269,333.9,614,79,405.8,433.7,478.3,545.5,569.4,599.2,614,13.712346237,499.42278481,54.223253951,381,625,79,411.8,461,507.5,534.5,566.4,587.7,625,10.857184654,486.85949367,88.384771456,364.7,696.5,79,379.6,414,465,549.2,638.7,660.2,696.5,18.154061409,500.75949367,131.47849733,220,880,79,320,420,500,600,680,700,880,26.255817213,-8.15,-37
